name,map_title,area,tip,lat,lng,google_maps_link
Park's Mung Bean Pancake Main,Gwangjang Market Essentials,"7 Jong-ro 32-gil, Jongno District, Seoul, South Korea",Netflix-famous Gwangjang stall—crispy mung bean pancakes with cold dongdongju.,37.5705337,127.0008464,https://maps.google.com/?cid=10884672776949401746&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
YOUR MIND,The Softer Side of Seoul: Yeonhui,"Seodaemun-gu, Yeonhui-ro, 122, Seoul, South Korea",Beloved indie bookstore behind Seoul's zine and small-press scene.,37.5684545,126.93239,https://maps.google.com/?cid=7745104775476166029&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
Tteumsae,Lost in Mangwon-Dong,"395-29 Mangwon-dong, Mapo-gu, Seoul, South Korea","Charming shop of handmade knitted goods—keyrings, lamps, vases—changing with the seasons.",37.553577,126.9038027,
Mood,Lost in Mangwon-Dong,"16 Poeun-ro 8-gil, Mapo-gu, Seoul, South Korea","Home goods, candles, and ceramics next to Mangwon Market—easy to lose track of time.",37.5563521,126.9057435,https://www.google.com/maps/place/%EB%AC%B4%EB%93%9C/data=!4m14!1m7!3m6!1s0x357c99a215faab01:0x7495f3b515b56d30!2zbW9vZG4g66y065Og!8m2!3d37.5598149!4d126.9056634!16s%2Fg%2F11twmpnntj!3m5!1s0x357c992608011415:0x11cda728d3375599!8m2!3d37.5563521!4d126.9057435!16s%2Fg%2F11hf3ls3ck?entry=ttu&g_ep=EgoyMDI2MDcxNS4wIKXMDSoASAFQAw%3D%3D
Gyerim Sikdang,Mimyo’s Everyday Euljiro,"39 Donhwamun-ro 4-gil, Jongno District, Seoul, South Korea",Old-school garlicky dakdoritang (chicken stew)—add knife-cut noodles to the broth at the end.,37.5701559,126.9945035,https://www.google.com/maps/search/?api=1&query=%EA%B3%84%EB%A6%BC%20Jongno%203-ga
Gwangjang Hotteok,Gwangjang Market Essentials,"206 Jong-ro, Jongno 5(o)-ga, Jongno District, Seoul, South Korea","Made-to-order hotteok stuffed with brown sugar, cinnamon, and nuts—eat it hot.",37.5707027,127.0004948,https://maps.app.goo.gl/UNXXcQxFLuDyBdh8A
Hyogye,Mimyo’s Everyday Euljiro,"17 Eulji-ro 12-gil, Jung District, Seoul, South Korea","Grilled-for-you chicken BBQ in Euljiro—thigh, breast, and special cuts with a highball.",37.5653957,126.9911196,https://www.google.com/maps/search/?api=1&query=%ED%9A%A8%EA%B3%84%20Euljiro
Pueoringausmeraki,Yeonhui-dong,"189-2 Yeonhui-dong, Seodaemun-gu, Seoul, South Korea",Striking building with a ground-floor cafe and exhibition space upstairs.,37.5667112,126.929278,https://maps.google.com/?cid=3687288891674389548&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
Narrative object,Inspiration seongsu,"24-7 Seoulsup 2-gil, Seongdong-gu, Seoul, South Korea",Curated objects with stories—refined pieces by Korean designers and makers.,37.5467459,127.0412121,https://maps.google.com/?cid=8108240413448795610&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
Honglim Sanghoe,Gwangjang Market Essentials,"3-1 Yeji -dong, Jongno District, Seoul, South Korea","Traditional banchan shop—soy marinated crab, pollock roe, kimchi; Korean food beyond BBQ.",37.5703372,127.0005473,https://maps.google.com/?cid=4616835776940341713&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
Ggupdang Seongsu,Korean BBQ - Only #1,"Seongdong-gu, Seongsui-ro 20-gil, 10, Seoul, South Korea",Top self-grill pork BBQ with well-aged cuts—order the kokumi rice bowl alongside.,37.5432243,127.057537,https://maps.google.com/?cid=16204548897865048625&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
Sundae (Blood Sausage),Gwangjang Market Essentials,"88 Cheonggyecheon-ro, Jongno District, Seoul, South Korea",Fresh sundae (blood sausage) in Gwangjang—dip it in tteokbokki sauce like the locals.,37.5700398,126.9996036,https://www.google.com/maps/place/%EA%B4%91%EC%9E%A5%EC%8B%9C%EC%9E%A5/data=!3m1!4b1!4m6!3m5!1s0x357ca2ed7e74759b:0xd656a34831089f44!8m2!3d37.5700398!4d126.9996036!16s%2Fm%2F012r1x6q?entry=ttu&g_ep=EgoyMDI2MDYxMy4wIKXMDSoASAFQAw%3D%3D
Moasikpum,Mimyo’s Everyday Euljiro,"61-6 Mareunnae-ro, Jung District, Seoul, South Korea",Tucked-away outdoor Euljiro spot for cheap grilled beef brisket and tasty snacks.,37.5645652,126.9948484,https://www.google.com/maps/search/?api=1&query=%EB%AA%A8%EC%95%84%EC%8B%9D%ED%92%88%20Euljiro
Coottha Brunch,Yeonhui-dong,"48 Jeungga-ro, Seodaemun-gu, Seoul, South Korea",Aussie-style brunch arguably better than Australia's—everything on the menu delivers.,37.5722016,126.9294189,
Domasorigimbab,Yeonhui-dong,"27 Yeonhui-ro 15-gil, Seodaemun-gu, Seoul, South Korea",Standout kimbap even by Yeonhui standards—one generously stuffed roll is a full meal.,37.5685534,126.9304667,
Yeonhuidonggukhwappang,Yeonhui-dong,"17-21 Yeonhuimat-ro, Seodaemun-gu, Seoul, South Korea",Yeonhui's signature street snack—try the seasonal cream flavors beyond classic red bean.,37.5665983,126.9287997,https://maps.google.com/?cid=5604846584235338536&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
Your Naked Cheese,Inspiration seongsu,"656-439 Seongsu-dong 1(il)-ga, Seongdong-gu, Seoul, South Korea",Cozy wine bar specializing in cheese pairings—a lovely way to end the evening.,37.5467922,127.04525,https://maps.google.com/?cid=17072066884854235419&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
Anthracite Coffee Seogyo,Lost in Mangwon-Dong,"11 World Cup-ro 12-gil, Mapo-gu, Seoul, South Korea","Bright, light-filled cafe roasting its own beans—great for reading or working.",37.5554335,126.9117009,https://maps.google.com/?cid=13578495904792071092&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
Your Dining,Lost in Mangwon-Dong,"398-15 Mangwon-dong, Mapo-gu, Seoul, South Korea",Solid Italian with an open kitchen—watch the chefs cook while you wait.,37.5544305,126.9037923,https://maps.google.com/?cid=16462378960371327814&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
SEONGSUYUL IMMERSIVE MUSIC SPACE,Inspiration seongsu,"269-212 Seongsu-dong 2(i)-ga, Seongdong-gu, Seoul, South Korea",Record shop and music space with intimate live shows—Seoul's local music culture.,37.5402836,127.0599885,https://maps.google.com/?cid=2365541824658911416&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
Tamburins Seongsu,Inspiration seongsu,"8 Yeonmujang 5-gil, Seongdong-gu, Seoul, South Korea",Fragrance flagship where the spatial storytelling rivals the perfumes.,37.5437671,127.0526044,https://maps.google.com/?cid=8792177122217069928&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
Buchon Yukhoe Main Store,Gwangjang Market Essentials,"Jongno District, Jongno 4(sa)-ga, Seoul, South Korea",Iconic yukhoe (seasoned raw beef) with egg yolk—or try it topped with fresh octopus.,37.5703409,126.999913,https://maps.google.com/?cid=3621053671024990226&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
Off Beauty,Gwangjang Market Essentials,"Jongno District, Changgyeonggung-ro, 88, Seoul, South Korea","Discount K-beauty store—outlet prices on skincare, sheet masks, and travel-size items.",37.5702734,126.9981212,https://maps.google.com/?cid=15976841986945156687&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
Jiyuken,Mimyo’s Everyday Euljiro,"Jung District, Supyo-ro, 42-7, Seoul, South Korea","Cozy Japanese-style Chinese—tantanmen, mapo tofu, and dumplings with cold draft beer.",37.5652133,126.9901938,https://maps.app.goo.gl/UjtTRUAEL4wXJ7FF7
Sentiment Café,The Softer Side of Seoul: Yeonhui,"17-14 Yeonhuimat-ro, Seodaemun-gu, Seoul, South Korea",Gallery-like Yeonhui cafe with soaring ceilings and rare open space—stay for the room.,37.5671737,126.9290973,https://maps.google.com/?cid=942591527078137029&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
Protokoll Roasters,Yeonhui-dong,"109 Yeonhui-ro, Seodaemun-gu, Seoul, South Korea",Laptop-friendly roastery cafe where everyone's working—easy to focus.,37.5677541,126.9313583,https://maps.google.com/?cid=12556498310606203999&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
Vision Stroll Yeonhui Roastery,Yeonhui-dong,"24 Yeonhui-ro 11ga-gil, Seodaemun-gu, Seoul, South Korea","Mangwon favorite reborn in Yeonhui—same cozy vibe, even better bakery selection.",37.5673546,126.9284961,https://maps.google.com/?cid=8475649539660303499&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
Ssereupareukeu(SERRPARC),The Softer Side of Seoul: Yeonhui,"7-5 Yeonhui-ro 11na-gil, Seodaemun-gu, Seoul, South Korea","Curated shop by Camel Coffee's founder—fashion, vintage objects, books, lifestyle goods.",37.5673732,126.9282277,https://maps.google.com/?cid=16824976580461373835&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
Jusikhoesa Hanju(hanju Daieori),Mimyo’s Everyday Euljiro,"Jung District, Chungmu-ro 4-gil, 2, Seoul, South Korea","Cute Euljiro stationery shop—cat-themed goods, nice paper, friendly prices.",37.5649259,126.9929541,https://maps.app.goo.gl/FhWHg9gGWabw5Rar6
Irie,Noodle Goodness,"372-30 Hapjeong-dong, Mapo-gu, Seoul, South Korea",Get the shio ramen—the best in Korea.,37.5480687,126.9143843,https://maps.app.goo.gl/3RhpBynDKAuSdJSdA?g_st=ic
New Mix Coffee,Inspiration seongsu,"3 Yeonmujang 3-gil, Seongdong-gu, Seoul, South Korea","Tiny shop rebranding Korea's iconic instant coffee mix with clean, clever design.",37.5439611,127.0513053,https://maps.google.com/?cid=10685972495728647283&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
Yangmingsan,Yeonhui-dong,"Seodaemun-gu, Gajwa-ro, 36, Seoul, South Korea","Hidden local Chinese joint—fried eggplant and pork with a cold beer, cheap and comforting.",37.5776984,126.9318425,
Haus nowhere,Inspiration seongsu,"South Korea, Seoul, Seongdong-gu, Ttukseom-ro, 433",Flagship that feels more like a contemporary exhibition than a store—world-class brand experience.,37.5381974,127.0588615,https://maps.google.com/?cid=12964177860871752529&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
Butcheli House,Korean BBQ - Only #1,"122-1 Dokseodang-ro, Yongsan District, Seoul, South Korea","The best steakhouse in Korea—perfectly aged, thick-seared steak that beats the big names.",37.5368461,127.0128969,https://maps.google.com/?cid=12504799423283789685&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
Seoul Gypsy,Mimyo’s Everyday Euljiro,"107 Seosulla-gil, Jongno District, Seoul, South Korea",Craft beer and global food against a hanok and stone-wall backdrop on Seosulla-gil.,37.5750322,126.9915443,https://www.google.com/maps/search/?api=1&query=%EC%84%9C%EC%9A%B8%EC%A7%91%EC%8B%9C%20%EC%84%9C%EC%88%9C%EB%9D%BC%EA%B8%B8%20Seosulla-gil
Lost & Found Bourbon Bar (roseuteuaenpaundeu),Mimyo’s Everyday Euljiro,"5 Chungmu-ro 4-gil, Cho-dong, Jung District, Seoul, South Korea",Rare dedicated bourbon bar run with real love—perfect for one slow after-dinner drink.,37.565076,126.9931622,https://www.google.com/maps/search/?api=1&query=%EB%A1%9C%EC%8A%A4%ED%8A%B8%20%26%20%ED%8C%8C%EC%9A%B4%EB%93%9C%20Euljiro
Mentakamusyo,Noodle Goodness,"29 Wausan-ro 18-gil, Mapo-gu, Seoul, South Korea",Best tsukemen in Korea—add the shrimp seasoning to the soup.,37.5514493,126.9238053,https://maps.app.goo.gl/TFEdhZWRgicCB9Xb8?g_st=ic
Oldies Taco,Mimyo’s Everyday Euljiro,"Jung District, Chungmu-ro 4-gil, 5, Seoul, South Korea",Hip taco stand in Euljiro's print-shop alleys—a light bite before a bar or a walk.,37.5651334,126.9931736,https://www.google.com/maps/search/?api=1&query=%EC%98%AC%EB%94%94%EC%8A%A4%20%ED%83%80%EC%BD%94%20%EC%9D%84%EC%A7%80%EB%A1%9C%20%EB%B3%B8%EC%A0%90%20Euljiro
Corduroy fellaz,Busan with friends,"53 Millakbondong-ro 11beon-gil, Suyeong-gu, Busan, South Korea","Beautifully designed Busan cocktail bar—stunning, balanced drinks for a special evening.",35.1571249,129.1258295,https://maps.google.com/?cid=7396138714465649580&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
Padilla Bake Shop,The Softer Side of Seoul: Yeonhui,"107-1 Yeonhui-dong, Seodaemun-gu, Seoul, South Korea",Under-the-radar Yeonhui bakery cafe—don't miss the cassata frozen dessert.,37.5720473,126.9289736,
Buil Galmaegi,Korean BBQ - Only #1,"4 Samjeon-ro 13-gil, Songpa District, Seoul, South Korea","Best 'special cut' BBQ for going beyond tenderloin, with a deep sake lineup.",37.5072851,127.0898565,https://maps.google.com/?cid=13218121252389506667&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
Galrikboi,Gwangjang Market Essentials,"88 Changgyeonggung-ro, Jongno District, Seoul, South Korea","Korean garlic bread at its best—chewy, stuffed with cream cheese and sweet garlic butter.",37.5702831,126.9987139,https://maps.google.com/?cid=11578728264329447995&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
MUSINSA EMPTY SEONGSU,Inspiration seongsu,"97 Seongsui-ro, Seongdong-gu, Seoul, South Korea",Experimental retail space mixing fashion and art—rotating exhibitions and pop-ups.,37.5436282,127.0566446,https://maps.google.com/?cid=5075294706579618113&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
Jeonrado Hoetjip,Gwangjang Market Essentials,"Jongno District, Changgyeonggung-ro, 88, Seoul, South Korea",Market-style sashimi and seafood platters with soju—the Gwangjang locals' longer meal.,37.5702208,127.0009775,https://maps.google.com/?cid=11853152874975084583&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
Lowkey Yeonhui,Yeonhui-dong,"433-8 Yeonhui-dong, Seodaemun-gu, Seoul, South Korea","Relaxed cafe for slow coffee, an outdoor chat, or settling in to work.",37.5667703,126.9275951,
Hakuten,Noodle Goodness,"387-6 Yeonnam-dong, Mapo-gu, Seoul, South Korea",The best iekei ramen in Seoul.,37.5628201,126.9258144,https://maps.app.goo.gl/aAZ74Vh9AMxKV2bL9?g_st=ic
Olive Young N Seongsu,Inspiration seongsu,"13 Yeonmujang 7-gil, Seongdong-gu, Seoul, South Korea",Flagship for the latest K-beauty trends—and for watching Korean consumer culture.,37.5441151,127.054556,https://maps.google.com/?cid=5819355147860464207&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
Kangane Tteokbokki,Gwangjang Market Essentials,"Jongno District, Jong-ro 32-gil, 2, Seoul, South Korea","Chewy, firm-bite tteokbokki—pair with fried snacks or sundae for the full market combo.",37.5705899,127.000409,https://maps.google.com/?cid=10567511475662224687&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
Sewoon Arcade (Makercity Sewoon),Mimyo’s Everyday Euljiro,"116-6 Jangsa-dong, Jongno District, Seoul, South Korea",Old electronics arcade now dotted with cafes and bars—walk it toward Jongmyo for a local route.,37.5697077,126.995225,https://maps.app.goo.gl/y8H84fCDghGJbEZv6
Butanomaekseu,Noodle Goodness,"338 Hakdong-ro, Gangnam District, Seoul, South Korea",Best miso ramen—Sapporo-style with a seasonal menu; the miso is the top pick.,37.5165513,127.0401391,https://maps.app.goo.gl/EqVRwFo9jhyWLTTX9?g_st=ic
Kodak,Gwangjang Market Essentials,"Jongno District, Changgyeonggung-ro, 88, Seoul, South Korea",Kodak fashion store with streetwear and Korea-exclusive merch—fun for a quick browse.,37.5702831,126.9987139,https://maps.google.com/?cid=11128614242124134061&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
Mother-Daughter Kimbap,Gwangjang Market Essentials,"403-23 Dongho-ro, Jongno District, Seoul, South Korea",Gwangjang's famous mayak gimbap—bite-size rolls with an addictive mustard-soy dip.,37.5703904,127.0009448,https://maps.google.com/?cid=18160832364236802800&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
MISOTZEUM YEONHUI,The Softer Side of Seoul: Yeonhui,"133-13 Yeonhui-dong, Seodaemun-gu, Seoul, South Korea",New spot for Korean stone-pot rice cooked to order with seasonal ingredients.,37.568693,126.9306045,
Eulji Myeonok,Mimyo’s Everyday Euljiro,"12 Samil-daero 30-gil, Jongno District, Seoul, South Korea",Pyongyang-style naengmyeon with a subtle broth that turns quietly addictive.,37.5736809,126.9885769,https://www.google.com/maps/search/?api=1&query=%EC%9D%84%EC%A7%80%EB%A9%B4%EC%98%A5%20Euljiro
Travel Town,Lost in Mangwon-Dong,"57 World Cup-ro 17-gil, Mapo-gu, Seoul, South Korea","Travel-themed indie bookstore with books, zines, and camping goods—feels like starting a trip.",37.554984,126.9077525,https://maps.google.com/?cid=16884915957469427899&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
Vonzrr,The Softer Side of Seoul: Yeonhui,"189-16 Yeonhui-ro, Seodaemun-gu, Seoul, South Korea","Spacious cafe in a converted house—multiple floors, quiet, made for unhurried afternoons.",37.5740748,126.934627,https://maps.google.com/?cid=6718279598257609042&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
Der StuhL,Yeonhui-dong,"98 Yeonhui-ro 25-gil, Seodaemun-gu, Seoul, South Korea",Cool minimalist cafe with big communal tables—great for groups or focused work.,37.5695365,126.9318315,
SALT HOUSE DELI Anguk,Mimyo’s Everyday Euljiro,"Jongno District, Bukchon-ro 4-gil, 19, Seoul, South Korea",Deli doing jambon-beurre and charcuterie well before it was trendy—eat in or take out.,37.5793777,126.9862789,https://www.google.com/maps/search/?api=1&query=%EC%86%8C%EA%B8%88%EC%A7%91%EB%8D%B8%EB%A6%AC%20%EC%95%88%EA%B5%AD%20Anguk
Cobbler Yeonhee Kobeulreo Yeonhui,Yeonhui-dong,"31-9 Yeonhuimat-ro, Seodaemun-gu, Seoul, South Korea","Cocktail bar in a renovated house—drinks tailored to your taste in a calm, cozy setting.",37.5681013,126.9302113,
Chungwang,Yeonhui-dong,"132-83 Yeonhui-dong, Seodaemun-gu, Seoul, South Korea",Korean fusion pub with crowd-pleasers—pair them with traditional Korean liquor.,37.568181,126.9304143,
objectsang-ga,Yeonhui-dong,"23 Yeonhuimat-ro, Seodaemun-gu, Seoul, South Korea",Customize pouches and totes with patches—staff iron them on while you wait.,37.5671442,126.9296632,https://maps.google.com/?cid=18043842668380229882&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
Maman Gelato Seongsu,Inspiration seongsu,"South Korea, Seoul, Seongdong-gu, Yeonmujang 9-gil, 8",Beloved neighborhood gelato—the perfect break while wandering Seongsu.,37.5429349,127.0559738,https://maps.google.com/?cid=7806284122973477261&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
EQL SEONGSU GROVE,Inspiration seongsu,"South Korea, Seoul, Seongdong-gu, Yeonmujang 15-gil, 11",Curated Korean fashion and lifestyle brands—a snapshot of current Korean design.,37.542928,127.0588309,https://maps.google.com/?cid=17244925744761784497&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
Izakaya Robataya Caden,Yeonhui-dong,"173 Yeonhui-ro, Seodaemun-gu, Seoul, South Korea","Generous, varied udon—head upstairs for cold beer and tasty side dishes.",37.5725045,126.9350565,
Visual Collect,Inspiration seongsu,"South Korea, Seoul, Seongdong-gu, Yeonmujang 13-gil, 3",Curated bookstore for art books and indie publications—great for visual references.,37.5419619,127.0579137,https://maps.google.com/?cid=11504739294201572773&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
Wasshoiken,Noodle Goodness,"Gangnam District, Teheran-ro 4-gil, 46, Seoul, South Korea",Their seafood-based kyokai tonkotsu is easily the best in Seoul.,37.4951086,127.0303115,https://maps.app.goo.gl/naQXT1BesSx4HFo29?g_st=ic
Dolpound,The Softer Side of Seoul: Yeonhui,"10-6 Yeonhui-ro 11ra-gil, Seodaemun-gu, Seoul, South Korea",Beloved dessert cafe known for pound cakes and seasonal sweets—worth crossing town for.,37.5683856,126.9302546,https://maps.google.com/?cid=1710019577141372144&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
Olive Young,Gwangjang Market Essentials,"88 Changgyeonggung-ro, Jongno District, Seoul, South Korea","Olive Young as an attraction—color analysis, skin diagnostics, and exclusive market goods.",37.5704057,127.0001957,https://maps.google.com/?cid=13480356349037815818&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA
